District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Kupwara,158438.0,92052.47799999999,13150.354000000001,77476.182,23226.0,11496.87,1114.848,16304.652000000002
Badgam,160649.0,74380.487,6265.311,133820.617,27190.0,9190.22,706.94,24579.760000000002
Leh(Ladakh),36920.0,19013.8,775.32,32526.519999999997,17474.0,9540.804,192.21400000000003,16740.092
Kargil,40370.0,29591.21,1412.95,39078.159999999996,7774.0,5348.512,93.288,7579.65
Punch,132139.0,78622.705,3171.3360000000002,18103.042999999998,15269.0,4168.437,122.152,11497.557
Rajouri,196070.0,103721.03,5293.89,19999.14,17508.0,3256.4880000000003,297.636,14969.34
Kathua,181374.0,66564.258,6348.090000000001,25755.107999999997,33473.0,9037.710000000001,1037.663,22460.382999999998
Baramula,210543.0,97060.323,11158.779,156433.449,48932.0,16636.88,2446.6,45262.1
Bandipore,80521.0,43239.777,5958.554000000001,56445.221,17555.0,5442.05,754.8649999999999,16554.364999999998
Srinagar,4518.0,1734.912,284.634,4007.466,257721.0,59791.272,5669.862000000001,252824.301
Ganderbal,63788.0,30235.512,6059.86,44332.659999999996,13558.0,2982.76,610.11,12378.454
Pulwama,147520.0,63433.6,6785.92,92495.04,21703.0,9202.072,651.09,19771.432999999997
Shupiyan,75616.0,25104.512000000002,4461.344,44613.439999999995,5272.0,1813.5679999999998,173.976,4997.856
Anantnag,207067.0,89660.011,10560.417,105190.03600000001,70666.0,20139.809999999998,2190.646,53352.83
Kulgam,95952.0,47016.479999999996,4509.744,40011.984000000004,25178.0,10574.76,1057.476,14729.13
Doda,122267.0,73360.2,1956.272,29344.079999999998,11350.0,2689.95,329.15,10600.900000000001
Ramban,84281.0,43404.715000000004,1769.901,15002.018000000002,5341.0,1030.813,128.184,4417.0070000000005
Kishtwar,72378.0,37636.56,2460.8520000000003,14475.6,5993.0,809.0550000000001,41.95099999999999,5597.462
Udhampur,148664.0,66452.808,2973.28,11001.136000000002,34696.0,5898.320000000001,624.528,26056.695999999996
Reasi,95572.0,52469.02799999999,1433.58,8601.48,12261.0,4843.095,134.871,9661.668
Jammu,254566.0,97753.344,12473.734,62623.236000000004,248043.0,56057.718,8433.462000000001,210588.507
Samba,94247.0,28745.335,3110.1510000000003,24504.22,19989.0,3558.0420000000004,219.87900000000002,14132.223000000002
Chamba,186395.0,70830.1,4287.085,90960.76,13836.0,2573.4960000000005,96.85199999999999,12037.32
Kangra,588321.0,148845.213,8236.493999999999,378878.724,39007.0,7411.33,624.112,32102.761
Lahul AND Spiti,17434.0,,,,0.0,,,
Kullu,167995.0,46198.62500000001,2015.94,91053.29000000001,20709.0,3189.186,269.21700000000004,18762.354
Mandi,431129.0,120716.12000000001,6898.064,353525.77999999997,31696.0,5483.408,221.87199999999999,29160.32
Hamirpur,196116.0,42361.056000000004,1961.16,174739.35599999997,15232.0,2619.904,91.392,14059.135999999999
Hamirpur,196116.0,42361.056000000004,1961.16,174739.35599999997,15232.0,5651.072,243.71200000000002,10464.384
Hamirpur,196116.0,42361.056000000004,1961.16,174739.35599999997,55300.0,9511.599999999999,331.8,51041.899999999994
Hamirpur,196116.0,42361.056000000004,1961.16,174739.35599999997,55300.0,20516.3,884.8000000000001,37991.100000000006
Hamirpur,196116.0,99038.58,2941.74,49029.0,15232.0,2619.904,91.392,14059.135999999999
Hamirpur,196116.0,99038.58,2941.74,49029.0,15232.0,5651.072,243.71200000000002,10464.384
Hamirpur,196116.0,99038.58,2941.74,49029.0,55300.0,9511.599999999999,331.8,51041.899999999994
Hamirpur,196116.0,99038.58,2941.74,49029.0,55300.0,20516.3,884.8000000000001,37991.100000000006
Hamirpur,256081.0,55313.49600000001,2560.81,228168.17099999997,15232.0,2619.904,91.392,14059.135999999999
Hamirpur,256081.0,55313.49600000001,2560.81,228168.17099999997,15232.0,5651.072,243.71200000000002,10464.384
Hamirpur,256081.0,55313.49600000001,2560.81,228168.17099999997,55300.0,9511.599999999999,331.8,51041.899999999994
Hamirpur,256081.0,55313.49600000001,2560.81,228168.17099999997,55300.0,20516.3,884.8000000000001,37991.100000000006
Hamirpur,256081.0,129320.905,3841.2149999999997,64020.25,15232.0,2619.904,91.392,14059.135999999999
Hamirpur,256081.0,129320.905,3841.2149999999997,64020.25,15232.0,5651.072,243.71200000000002,10464.384
Hamirpur,256081.0,129320.905,3841.2149999999997,64020.25,55300.0,9511.599999999999,331.8,51041.899999999994
Hamirpur,256081.0,129320.905,3841.2149999999997,64020.25,55300.0,20516.3,884.8000000000001,37991.100000000006
Una,185091.0,46828.023,2591.274,108833.50799999999,20126.0,4910.744,966.048,15013.996
Bilaspur,152458.0,41011.202,1981.9540000000002,104891.10399999999,11987.0,2025.8029999999999,95.896,11207.845000000001
Bilaspur,152458.0,41011.202,1981.9540000000002,104891.10399999999,11987.0,4327.307,371.597,7875.459000000001
Bilaspur,152458.0,41011.202,1981.9540000000002,104891.10399999999,188174.0,31801.405999999995,1505.392,175942.69
Bilaspur,152458.0,41011.202,1981.9540000000002,104891.10399999999,188174.0,67930.814,5833.394,123630.318
Bilaspur,152458.0,90102.678,7927.816000000001,25308.028000000002,11987.0,2025.8029999999999,95.896,11207.845000000001
Bilaspur,152458.0,90102.678,7927.816000000001,25308.028000000002,11987.0,4327.307,371.597,7875.459000000001
Bilaspur,152458.0,90102.678,7927.816000000001,25308.028000000002,188174.0,31801.405999999995,1505.392,175942.69
Bilaspur,152458.0,90102.678,7927.816000000001,25308.028000000002,188174.0,67930.814,5833.394,123630.318
Bilaspur,549632.0,147851.00799999997,7145.216,378146.816,11987.0,2025.8029999999999,95.896,11207.845000000001
Bilaspur,549632.0,147851.00799999997,7145.216,378146.816,11987.0,4327.307,371.597,7875.459000000001
Bilaspur,549632.0,147851.00799999997,7145.216,378146.816,188174.0,31801.405999999995,1505.392,175942.69
Bilaspur,549632.0,147851.00799999997,7145.216,378146.816,188174.0,67930.814,5833.394,123630.318
Bilaspur,549632.0,324832.512,28580.864,91238.91200000001,11987.0,2025.8029999999999,95.896,11207.845000000001
Bilaspur,549632.0,324832.512,28580.864,91238.91200000001,11987.0,4327.307,371.597,7875.459000000001
Bilaspur,549632.0,324832.512,28580.864,91238.91200000001,188174.0,31801.405999999995,1505.392,175942.69
Bilaspur,549632.0,324832.512,28580.864,91238.91200000001,188174.0,67930.814,5833.394,123630.318
Solan,192787.0,47232.815,3662.953,133023.03,51509.0,9632.182999999999,721.126,46255.082
Sirmaur,171102.0,52870.518,4790.856,97357.03799999999,21054.0,4147.638,210.54,20232.894
Shimla,279269.0,68141.636,6423.187,167002.862,95896.0,17357.176000000003,1246.6480000000001,86977.672
Kinnaur,44514.0,13042.601999999999,445.14,30803.688000000002,0.0,,,
Gurdaspur,420860.0,207904.84,37877.4,210850.86,185488.0,76235.568,9645.376,158777.728
Kapurthala,165433.0,68489.262,10091.413,128045.142,95770.0,30646.4,3926.5699999999997,90119.56999999999
Jalandhar,330339.0,154268.313,20481.018,251057.64,377791.0,143938.371,18133.968,361923.778
Hoshiarpur,422673.0,173295.93,27473.745000000003,240923.61,128592.0,44107.056,6301.008,114318.288
Shahid Bhagat Singh Nagar,183168.0,73450.368,9891.072000000002,122356.22399999999,48383.0,17417.88,3144.895,41173.933
Fatehgarh Sahib,117559.0,45965.569,7523.776,96986.17499999999,57337.0,20239.961,2580.165,53839.44300000001
Ludhiana,395032.0,178159.432,28047.271999999997,345653.0,641789.0,262491.701,31447.661,621893.5410000001
Moga,214295.0,96861.34,15857.830000000002,183007.93000000002,74144.0,25802.111999999997,4967.648,70214.368
Firozpur,348522.0,177397.698,37640.376000000004,232115.65199999997,153868.0,63239.74800000001,10924.627999999999,139558.276
Muktsar,149507.0,78939.69600000001,15997.249,108093.561,74650.0,30083.949999999997,6793.15,67035.7
Faridkot,99946.0,48973.54,7695.842,80056.746,58917.0,23802.467999999997,4772.277,54674.975999999995
Bathinda,218159.0,111479.249,16143.766000000001,183908.03699999998,137563.0,44570.412000000004,7428.402000000001,128071.15299999999
Mansa,145603.0,67705.395,10483.416000000001,91584.287,50786.0,17318.026,2996.3740000000003,43168.1
Patiala,299279.0,143653.91999999998,21248.808999999997,231342.66700000002,218090.0,70224.98,9159.78,211329.21000000002
Amritsar,275477.0,152063.304,21487.206,167490.016,385476.0,163827.3,20815.704,360034.58400000003
Tarn Taran,222717.0,124053.369,18040.077,144320.616,44457.0,19383.252,3156.4469999999997,38988.789
Rupnagar,148162.0,52745.672000000006,8889.72,84304.178,60537.0,16708.212000000003,3026.8500000000004,55512.429000000004
Sahibzada Ajit Singh Nagar,117293.0,50670.57600000001,8562.389,71196.851,174042.0,41247.954,6613.596,160814.80800000002
Sangrur,292156.0,133515.29200000002,17821.516,229634.61599999998,156788.0,53935.07199999999,7369.036,144244.96
Barnala,102577.0,50980.76900000001,6667.505,82266.754,54222.0,22231.02,3199.0980000000004,48908.244
Chandigarh,8911.0,4179.259,249.50799999999998,7841.68,289456.0,76995.296,10130.960000000001,253563.45599999998
Uttarkashi,112148.0,30279.960000000003,3364.44,44298.46,9061.0,1440.699,72.488,8290.815
Chamoli,163434.0,42983.142,4085.8500000000004,76813.98,22906.0,2657.096,206.15400000000002,20042.75
Rudraprayag,112705.0,22315.59,2141.395,57479.55,4454.0,432.03799999999995,13.362,4079.8639999999996
Tehri Garhwal,227059.0,62668.28400000001,6357.651999999999,113756.559,27177.0,2880.7619999999997,190.23899999999998,26062.743000000002
Dehradun,228245.0,60941.415,8901.555,170270.77,269393.0,54956.172,6465.432,256462.13600000003
Garhwal,279682.0,70200.182,5034.276000000001,135086.406,36780.0,5296.320000000001,404.58000000000004,34830.66
Pithoragarh,183687.0,46656.498,4224.8009999999995,88169.76,26256.0,2599.344,131.28,25337.04
Bageshwar,96031.0,24103.781,2784.899,51376.58500000001,3880.0,353.08,34.92,3492.0
Almora,260056.0,62673.49600000001,4420.952,134188.896,21082.0,3056.89,274.06600000000003,19374.358
Champawat,85202.0,34336.405999999995,5112.12,34421.608,12839.0,3607.7590000000005,757.5010000000001,10258.361
Nainital,193086.0,61208.262,9847.385999999999,134001.684,105577.0,20904.246,3167.31,100086.996
Udham Singh Nagar,269406.0,123657.35399999999,18050.202,153292.014,145253.0,52872.092,5810.12,133632.76
Hardwar,301828.0,145782.924,15996.884,151517.656,186183.0,47104.299,4096.026000000001,172405.45799999998
Panchkula,70895.0,24955.04,3473.855,31193.8,93656.0,21259.911999999997,4401.832,82042.65599999999
Ambala,175365.0,77511.33,7540.695,89611.515,139891.0,39729.043999999994,4616.403,124922.663
Yamunanagar,214464.0,101012.54400000001,13725.696,98653.44,143259.0,48564.80099999999,5730.36,131655.021
Kurukshetra,203553.0,93634.38,8752.778999999999,140655.123,88268.0,26127.328000000005,3089.38,81559.632
Kaithal,231091.0,112079.135,11092.368,133339.507,75696.0,27931.824,3103.5359999999996,62600.592000000004
Karnal,292682.0,139023.94999999998,14341.418,200779.85199999998,135920.0,39824.56,3533.9200000000005,124502.71999999999
Panipat,173502.0,82586.952,7287.084000000001,115725.834,153804.0,59983.560000000005,4460.316,145959.996
Sonipat,283858.0,142496.71600000001,13341.326000000001,159528.19600000003,133576.0,47553.056000000004,4541.584000000001,123157.072
Jind,278335.0,142229.185,13916.75,142785.855,89665.0,30396.434999999998,2510.62,78546.54
Fatehabad,203020.0,94201.28,11572.140000000001,148001.58000000002,55360.0,18711.679999999997,2712.6400000000003,50322.240000000005
Sirsa,245476.0,102363.49200000001,14483.084,214791.5,93316.0,30794.280000000002,3825.9559999999997,89490.04400000001
Hisar,302013.0,140436.045,16610.715,188758.125,154113.0,49624.386,5085.729,137931.135
Bhiwani,357047.0,163884.57299999997,18923.490999999998,175667.124,99235.0,41281.76,4366.34,86135.98
Rohtak,175203.0,86375.079,8234.541,102318.552,131739.0,43869.08699999999,3556.9530000000004,121331.61899999999
Jhajjar,211816.0,95529.016,10378.984,123912.35999999999,78328.0,32036.152,3524.7599999999998,71826.776
Mahendragarh,223726.0,94188.64600000001,6935.506,87253.14,44216.0,16448.352000000003,1238.0479999999998,34134.752
Rewari,199449.0,83170.23300000001,6581.817,99325.602,69305.0,21484.55,1663.32,60849.79
Gurgaon,141703.0,55689.278999999995,4534.496,92957.16799999999,381988.0,104664.71199999998,14897.532,350282.99600000004
Mewat,187398.0,109440.43199999999,16865.82,33356.844000000005,36237.0,14929.644000000002,1739.376,22648.125
Faridabad,87700.0,37886.4,3771.1,51392.2,382981.0,149745.571,9191.544,341619.052
Palwal,186069.0,95081.259,11722.347,59728.149000000005,63090.0,22838.58,2271.2400000000002,52238.52
North West,67592.0,31497.872000000003,3041.64,43326.471999999994,959275.0,329990.6,31656.075,824017.2250000001
North,4512.0,1141.536,40.608000000000004,4421.76,296559.0,110023.389,10379.565,266606.541
North East,5326.0,1938.664,149.128,5059.7,482255.0,171682.78000000003,9645.1,458624.505
East,1086.0,72.762,13.032,1065.366,461132.0,111593.944,8761.508,430697.288
New Delhi,0.0,,,,52664.0,15167.232000000002,1948.5680000000002,41025.256
Central,0.0,,,,194897.0,76594.521,6236.704,176966.476
West,1809.0,873.747,32.562000000000005,1575.639,699703.0,201514.46400000004,19591.683999999997,629032.997
South West,41179.0,14618.545,1358.9070000000002,36113.983,606503.0,168001.33099999998,15769.078000000001,553130.736
South,2918.0,1205.134,134.228,2643.7079999999996,728145.0,220627.935,21116.204999999998,640767.6
Ganganagar,397697.0,167430.437,9942.425000000001,323327.66099999996,164897.0,53096.834,5441.601000000001,154343.592
Hanumangarh,389059.0,143173.712,9337.416000000001,320195.557,108694.0,34999.468,3369.514,102063.66600000001
Bikaner,335754.0,169891.524,16451.946,99047.43,196179.0,53556.867000000006,3335.043,181661.754
Churu,344897.0,135199.624,20004.025999999998,162101.59,148996.0,45294.784,3277.9120000000003,130371.5
Jhunjhunun,500452.0,122110.288,12010.848,228706.564,150357.0,38190.678,2706.4260000000004,124044.525
Alwar,782294.0,309006.13,28162.584000000003,115779.51200000002,212967.0,61334.49600000001,3407.472,168882.83099999998
Bharatpur,,,,,129697.0,54472.74,3112.728,90139.415
Dhaulpur,214670.0,125367.28,14168.220000000001,10304.16,58626.0,23333.147999999997,2051.9100000000003,36817.128
Karauli,305047.0,190349.328,17082.631999999998,25013.853999999996,59308.0,24612.82,1838.548,37008.192
Sawai Madhopur,282057.0,155695.464,12410.508000000002,24821.016000000003,71264.0,24799.872,1852.8640000000003,51452.608
Dausa,361084.0,170070.564,19137.452,33580.812000000005,59610.0,15975.480000000001,834.54,45899.700000000004
Jaipur,754841.0,321562.266,31703.322000000004,166065.02,977838.0,264994.098,11734.056,886899.066
Sikar,527560.0,165653.84,14771.679999999998,212079.12000000002,178274.0,47955.70599999999,2852.384,150998.078
Nagaur,675712.0,313530.36799999996,42569.856,179063.68000000002,166489.0,53276.48,3995.736,134190.134
Jodhpur,584215.0,289186.425,30379.180000000004,80037.45499999999,307442.0,79320.03600000001,5226.514,277005.24199999997
Jaisalmer,159117.0,89264.637,5091.744,26572.538999999997,30830.0,12455.32,524.11,20501.95
Barmer,542825.0,322438.05,28769.725,52654.024999999994,55980.0,16234.199999999999,1399.5,46351.439999999995
Jalor,419216.0,218411.53600000002,35214.144,47371.408,48202.0,17593.73,1928.08,29837.038
Sirohi,238535.0,121175.78,16458.915,38642.67,69639.0,18663.252,1323.141,47493.798
Pali,512909.0,256967.409,27697.086000000003,95913.983,139808.0,46416.256,3495.2000000000003,96607.328
Ajmer,409335.0,204258.165,13917.390000000001,57716.23499999999,274919.0,76702.401,3024.1090000000004,236980.17799999999
Tonk,298911.0,161710.85100000002,5679.309,20624.859,81755.0,29677.065,2043.875,53713.035
Bundi,239836.0,135027.66799999998,8154.424000000001,19906.388000000003,63452.0,21319.872000000003,1269.04,40736.184
Bhilwara,530015.0,294158.325,19080.54,55651.575,145865.0,43905.365,1896.2450000000001,108961.155
Rajsamand,304622.0,166323.61200000002,12794.124000000002,34422.286,61054.0,18865.686,610.54,43592.556000000004
Dungarpur,322816.0,200468.736,20014.592,29376.255999999998,31547.0,8076.032,662.4870000000001,23376.327
Banswara,390437.0,267839.782,35529.767,26940.153000000002,39407.0,9260.644999999999,906.361,32510.774999999998
Chittaurgarh,366780.0,201362.21999999997,13204.080000000002,35210.88,88873.0,23817.964,1599.7140000000002,64432.924999999996
Kota,203454.0,94199.20199999999,5696.7119999999995,25024.842000000004,311735.0,91338.355,5922.965,239412.48
Baran,249184.0,126336.288,7724.704,18688.8,69804.0,24361.595999999998,1396.08,39997.691999999995
Jhalawar,298624.0,178278.528,12840.831999999999,21500.928000000004,63763.0,19128.899999999998,1339.0230000000001,42657.447
Udaipur,665449.0,399934.849,25287.061999999998,61886.75700000001,182769.0,40209.18,2193.228,157546.878
Pratapgarh,209813.0,132601.816,5245.325000000001,13008.405999999999,24269.0,5824.5599999999995,339.76599999999996,17012.569
Pratapgarh,209813.0,132601.816,5245.325000000001,13008.405999999999,24269.0,7693.273,728.0699999999999,15556.428999999998
Pratapgarh,209813.0,132601.816,5245.325000000001,13008.405999999999,41701.0,10008.24,583.814,29232.400999999998
Pratapgarh,209813.0,132601.816,5245.325000000001,13008.405999999999,41701.0,13219.217,1251.03,26730.340999999997
Pratapgarh,209813.0,93786.41100000001,13218.219000000001,23708.869000000002,24269.0,5824.5599999999995,339.76599999999996,17012.569
Pratapgarh,209813.0,93786.41100000001,13218.219000000001,23708.869000000002,24269.0,7693.273,728.0699999999999,15556.428999999998
Pratapgarh,209813.0,93786.41100000001,13218.219000000001,23708.869000000002,41701.0,10008.24,583.814,29232.400999999998
Pratapgarh,209813.0,93786.41100000001,13218.219000000001,23708.869000000002,41701.0,13219.217,1251.03,26730.340999999997
Pratapgarh,711085.0,449405.72000000003,17777.125,44087.27,24269.0,5824.5599999999995,339.76599999999996,17012.569
Pratapgarh,711085.0,449405.72000000003,17777.125,44087.27,24269.0,7693.273,728.0699999999999,15556.428999999998
Pratapgarh,711085.0,449405.72000000003,17777.125,44087.27,41701.0,10008.24,583.814,29232.400999999998
Pratapgarh,711085.0,449405.72000000003,17777.125,44087.27,41701.0,13219.217,1251.03,26730.340999999997
Pratapgarh,711085.0,317854.995,44798.355,80352.605,24269.0,5824.5599999999995,339.76599999999996,17012.569
Pratapgarh,711085.0,317854.995,44798.355,80352.605,24269.0,7693.273,728.0699999999999,15556.428999999998
Pratapgarh,711085.0,317854.995,44798.355,80352.605,41701.0,10008.24,583.814,29232.400999999998
Pratapgarh,711085.0,317854.995,44798.355,80352.605,41701.0,13219.217,1251.03,26730.340999999997
Saharanpur,605082.0,281363.13,34489.674,259580.17799999999,284156.0,105990.188,8808.836,261423.52000000002
Muzaffarnagar,673746.0,338220.492,30992.316,369886.55399999995,296104.0,118441.6,9475.328,274192.304
Bijnor,683875.0,359718.25,37613.125,344673.0,224648.0,95924.69600000001,7188.736,207574.752
Moradabad,692398.0,439672.73,41543.88,330966.244,355518.0,164249.31600000002,11376.576000000001,332764.848
Rampur,396775.0,257506.975,24600.05,223781.09999999998,143217.0,69460.245,5585.463,135053.631
Jyotiba Phule Nagar,335888.0,203212.24,19817.392,135362.864,115486.0,58551.402,4619.4400000000005,106247.12000000001
Meerut,381520.0,190378.48,15642.319999999998,202587.12000000002,422303.0,151606.777,8868.363000000001,392319.487
Baghpat,246055.0,128686.765,7873.76,144680.34,69991.0,32545.815000000002,2169.721,60542.215
Ghaziabad,355407.0,180191.34900000002,12794.652000000002,212533.386,836316.0,285183.756,15053.688000000002,792827.568
Gautam Buddha Nagar,170835.0,72263.205,4100.04,88321.695,338935.0,95240.73500000002,4406.155000000001,310125.525
Bulandshahr,658449.0,370706.78699999995,28313.306999999997,203460.741,221628.0,95964.924,6205.583999999999,188383.8
Aligarh,582117.0,330060.33900000004,25031.031,124573.038,275942.0,116999.408,7450.434000000001,232895.048
Mahamaya Nagar,288150.0,158770.65000000002,12102.300000000001,47544.75,84883.0,39385.712,2716.256,61709.941
Mathura,407488.0,217191.10399999996,16299.52,79867.648,177802.0,72009.81,4089.446,144375.22400000002
Agra,496971.0,262897.659,21369.752999999997,82497.186,406852.0,155417.464,7730.188,333618.63999999996
Firozabad,349747.0,201454.27200000003,23433.049000000003,39871.158,185621.0,96708.541,7424.84,152394.841
Mainpuri,338475.0,180745.65000000002,25385.625,45694.125,72783.0,30277.728000000003,3202.452,54878.382
Budaun,710956.0,464965.22400000005,57587.436,149300.75999999998,156668.0,81154.024,9870.084,121417.7
Bareilly,631613.0,397916.19,48634.201,282962.62399999995,362798.0,169063.86800000002,14511.92,334862.554
Pilibhit,371752.0,233088.504,34201.184,131971.96,89638.0,40874.928,7529.592000000001,79598.544
Shahjahanpur,520289.0,319977.735,62434.68,140478.03,134714.0,66952.85800000001,11046.547999999999,115719.32600000002
Kheri,754938.0,483160.32,83798.118,138153.654,107672.0,49313.776,9582.808,82046.064
Sitapur,827583.0,512273.877,100137.54299999999,98482.37700000001,111319.0,47199.256,9462.115,80149.68
Hardoi,786613.0,490059.899,65288.879,136870.66199999998,121064.0,56173.695999999996,7990.224,89587.36
Unnao,596317.0,351827.02999999997,43531.140999999996,94218.086,121039.0,53499.238,6172.989,86784.963
Lucknow,344155.0,196856.66000000003,28564.865,73993.325,717566.0,223163.026,29420.205999999995,629305.382
Rae Bareli,705025.0,390583.85,54991.95,94473.35,73393.0,25027.013000000003,3816.436,52182.422999999995
Farrukhabad,316647.0,188721.612,27231.641999999996,75678.633,94843.0,43343.251000000004,4457.621,77486.731
Kannauj,299785.0,174774.655,26381.08,65053.345,65985.0,28571.505,3893.1150000000002,49884.659999999996
Etawah,265643.0,145306.72100000002,20720.154,52597.314000000006,85483.0,34620.615000000005,3590.286,71292.822
Auraiya,255836.0,141221.472,23025.239999999998,52190.543999999994,58438.0,22557.068,2337.52,43945.376
Kanpur Dehat,363933.0,206713.944,30570.372000000003,83704.59,41323.0,16322.585000000001,2438.0570000000002,27397.148999999998
Kanpur Nagar,364869.0,214542.97199999998,25175.961000000003,86109.084,684906.0,265058.62200000003,32875.488,583539.912
Jalaun,304856.0,174682.48799999998,8840.823999999999,86274.248,91565.0,37633.215000000004,3204.775,69223.13999999998
Jhansi,309592.0,146746.60799999998,6191.84,64085.543999999994,195321.0,64260.60899999999,3711.0989999999997,139849.83599999998
Lalitpur,258013.0,136230.864,6966.351000000001,30961.559999999998,43819.0,15862.478000000003,1139.294,27562.151
Mahoba,198298.0,100537.086,3371.0660000000003,35297.044,48525.0,23631.675000000003,776.4,26543.175000000003
Banda,378056.0,199991.624,4158.616,75611.2,67569.0,23784.288000000004,1148.673,49663.215
Chitrakoot,207237.0,108799.425,3730.2660000000005,24453.966,23558.0,11001.586000000001,636.066,13828.546000000002
Fatehpur,558807.0,320755.218,31851.999,102261.681,77733.0,31792.797,3342.519,56045.492999999995
Kaushambi,349856.0,193120.51200000002,15393.664,48280.128000000004,30764.0,13197.756,1353.6160000000002,15812.696
Allahabad,983266.0,479833.80799999996,45230.236,153389.496,265304.0,80917.72,7693.816,222855.36
Bara Banki,635840.0,323642.56,75664.96,83930.88,79068.0,31231.86,6957.984,53608.10399999999
Faizabad,510378.0,262334.292,47465.15400000001,74004.81,79288.0,28622.968,3885.112,60417.456
Ambedkar Nagar,501559.0,232723.376,49654.341,69716.701,65031.0,27313.02,6373.0380000000005,35376.864
Sultanpur,839737.0,418189.026,72217.382,110005.547,49891.0,14817.626999999999,2195.204,36370.539000000004
Bahraich,698520.0,430986.83999999997,60072.719999999994,73344.59999999999,61742.0,25931.64,3519.2940000000003,49084.89
Shrawasti,248770.0,139808.74000000002,16916.36,25872.08,8504.0,3189.0,850.4000000000001,5357.52
Balrampur,410070.0,232509.69000000003,27474.690000000002,41827.14,35768.0,14486.04,1466.4879999999998,25717.192000000003
Gonda,673578.0,344198.358,76114.314,53212.662000000004,52794.0,17158.05,2322.936,40704.17399999999
Siddharthnagar,480165.0,215113.91999999998,31690.890000000003,49937.16,33348.0,11805.192,1734.0960000000002,15640.212
Basti,513960.0,207125.87999999998,51396.0,67328.76000000001,31065.0,11090.205000000002,2112.42,22397.864999999998
Sant Kabir Nagar,324972.0,141037.848,33147.144,39971.556000000004,27179.0,10300.841,1739.4560000000001,13507.963000000002
Mahrajganj,573046.0,294545.64400000003,50428.048,95698.68199999999,34033.0,13374.969,1973.9139999999998,19875.271999999997
Gorakhpur,761958.0,356596.344,67814.262,141724.18800000002,189170.0,59777.72,6999.290000000001,152092.68000000002
Kushinagar,742324.0,414959.116,63097.54000000001,109863.95200000002,42775.0,16553.925,4020.85,26648.825
Deoria,597778.0,277966.77,50811.130000000005,99828.92599999999,67928.0,22823.808,4483.2480000000005,42387.072
Azamgarh,891024.0,430364.592,80192.16,149692.032,80434.0,30082.316,3860.832,51960.363999999994
Mau,352207.0,166241.704,35572.907,61988.43200000001,99321.0,43800.561,6753.828,63068.835
Ballia,564927.0,269470.179,72310.656,125413.794,64454.0,23267.894,5994.222000000001,39316.94
Jaunpur,926088.0,426926.568,66678.33600000001,142617.552,80582.0,35858.99,3545.608,57857.876
Ghazipur,700173.0,358488.576,72817.99200000001,130232.17800000001,61467.0,23603.328,4487.090999999999,40260.885
Chandauli,344937.0,169019.13,23455.716,64848.156,50822.0,18702.496,2337.812,35168.824
Varanasi,438935.0,208933.06000000003,29408.645,118951.38500000001,316129.0,113174.182,11064.515000000001,281354.81
Sant Ravidas Nagar (Bhadohi),293510.0,140004.27000000002,18197.62,36982.26,45997.0,20238.68,2621.829,25574.332000000002
Mirzapur,465152.0,240018.432,22327.296000000002,89309.18400000001,77963.0,31730.941000000003,2728.7050000000004,53404.655000000006
Sonbhadra,337048.0,188072.78399999999,6066.8640000000005,46175.575999999994,91040.0,31317.76,4278.88,64365.280000000006
Etah,334246.0,189183.23600000003,23397.22,30750.631999999998,67752.0,29404.368,2100.312,53049.81599999999
Kanshiram Nagar,271234.0,166808.91,24139.826,30378.207999999995,72490.0,36317.49,3189.5600000000004,55744.81
Pashchim Champaran,839514.0,531412.362,41136.186,96544.11,96620.0,50145.78,7149.880000000001,52078.18
Purba Champaran,1142260.0,639665.6000000001,63966.55999999999,177050.3,101565.0,43571.385,5789.205,54845.100000000006
Sheohar,158484.0,94456.46399999999,5388.456,31379.832000000002,7516.0,3382.2000000000003,601.28,2773.404
Sitamarhi,807294.0,473881.57800000004,50052.228,150963.978,49670.0,20762.059999999998,3228.55,30050.35
Madhubani,1047552.0,532156.416,49234.944,181226.496,41234.0,17606.918,2927.6139999999996,22884.870000000003
Supaul,572287.0,355390.227,28042.063000000002,52078.117,27815.0,14408.17,2169.57,13017.42
Araria,659061.0,424435.284,24385.257000000005,44157.087,44213.0,21443.305,2829.632,24007.658999999996
Kishanganj,401793.0,249915.24599999998,14062.755000000001,24911.166,43357.0,20117.647999999997,3425.203,22502.283
Purnia,712847.0,464063.39699999994,36355.197,61304.842,85749.0,39530.289000000004,8317.652999999998,50677.659
Katihar,668232.0,414303.84,33411.6,84865.464,69838.0,29541.474,4958.498,47839.030000000006
Madhepura,486278.0,311217.92,30149.236,54949.414000000004,24000.0,11016.0,2088.0,12312.0
Saharsa,432651.0,278194.593,28554.966,54081.375,38046.0,16397.826,2815.4040000000005,25719.095999999998
Darbhanga,907174.0,478987.87200000003,73481.094,189599.36599999998,95539.0,38215.6,8598.51,64011.130000000005
Muzaffarpur,998694.0,603211.176,83890.296,218713.98599999998,120700.0,43693.40000000001,8207.6,93059.69999999998
Gopalganj,515925.0,273956.175,41274.0,93382.42500000002,38133.0,15100.668000000001,2326.113,19371.564
